Order Date,Order Quantity,Sales ID,Sales,Product Name,Product Sub-Category,Product Category,Discount,Unit Price,Product Base Margin,Profit,Product ID,Advertising Expenditure,Sales Representative,Product Review Rating,Customer ID,Customer Name,Customer Segment,Email ID,Address,Region,Region ID
10/13/2010,6,101,224.2944,"Eldon Base for stackable storage shelf, platinum",Storage & Organization,Office Supplies,0.04,38.94,0.8,177.5664,OF_01,1.947,1,5,CG-12520,Claire Gute,Small Business,claire_gute@example.com,"Henderson, Kentucky",South,1
10/1/2012,49,102,3869.447625,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances,Office Supplies,0.07,208.16,0.58,5201.9184,OF_02,10.408,1,2,CG-12520,Claire Gute,Consumer,claire_gute@example.com,"Henderson, Kentucky",South,1
10/1/2012,27,103,232.2837,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Binders and Binder Accessories,Office Supplies,0.01,8.69,0.39,89.1594,OF_03,0.4345,2,5,DV-13045,Darrin Van Huff,Consumer,darrin_huff@example.com,"Los Angeles, California",West,2
7/10/2011,30,104,3869.447625,R380,Telephones and Communication,Technology,0.08,195.99,0.58,2939.85,TE_01,29.3985,3,1,SO-20335,Sean O'Donnell,Corporate,sean_o'donnell@example.com,"Fort Lauderdale, Florida",South,1
8/28/2010,19,105,380.7144,Holmes HEPA Air Purifier,Appliances,Office Supplies,0.08,21.78,0.5,173.8044,OF_04,1.089,2,4,SO-20335,Sean O'Donnell,Consumer,sean_o'donnell@example.com,"Fort Lauderdale, Florida",South,1
8/28/2010,21,106,132.468,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,Furniture,0.05,6.64,0.37,44.6208,FU_01,0.664,3,3,BH-11710,Brosina Hoffman,Consumer,brosina_hoffman@example.com,"Los Angeles, California",West,2
6/17/2011,12,107,84.972,"Angle-D Binders with Locking Rings, Label Holders",Binders and Binder Accessories,Office Supplies,0.03,7.3,0.38,30.66,OF_05,0.365,1,4,BH-11710,Brosina Hoffman,Corporate,brosina_hoffman@example.com,"Los Angeles, California",West,2
6/17/2011,22,108,856.0552,"SAFCO Mobile Desk Side File, Wire Frame",Storage & Organization,Office Supplies,0.09,42.76,0.658618132,561.6754766,OF_06,2.138,1,4,BH-11710,Brosina Hoffman,Corporate,brosina_hoffman@example.com,"Los Angeles, California",West,2
3/24/2011,21,109,2697.8742,"SAFCO Commercial Wire Shelving, Black",Storage & Organization,Office Supplies,0.07,138.14,0.658618132,1769.961866,OF_07,6.907,1,4,BH-11710,Brosina Hoffman,Corporate,brosina_hoffman@example.com,"Los Angeles, California",West,2
2/26/2010,44,110,203.7816,Xerox 198,Paper,Office Supplies,0.07,4.98,0.38,67.9272,OF_08,0.249,2,3,BH-11710,Brosina Hoffman,Home Office,brosina_hoffman@example.com,"Los Angeles, California",West,2
11/23/2010,45,111,190.674,Xerox 1980,Paper,Office Supplies,0.01,4.28,0.4,75.114,OF_09,0.214,2,4,BH-11710,Brosina Hoffman,Home Office,brosina_hoffman@example.com,"Los Angeles, California",West,2
11/23/2010,32,112,121.344,Advantus Map Pennant Flags and Round Head Tacks,Rubber Bands,Office Supplies,0.04,3.95,0.53,61.936,OF_10,0.1975,1,4,BH-11710,Brosina Hoffman,Home Office,brosina_hoffman@example.com,"Los Angeles, California",West,2
6/8/2012,32,113,696.96,Holmes HEPA Air Purifier,Appliances,Office Supplies,0,21.78,0.5,348.48,OF_04,1.089,1,2,AA-10480,Andrew Allen,Home Office,andrew_allen@example.com,"Concord, North Carolina",South,1
